Country,MeanScore,Volatility,Trend,Cluster
Afghanistan,37.86666666666667,1.1794702200564446,2.8299999999999983,1
Albania,29.953333333333333,0.610655385630881,-0.28999999999999915,1
Algeria,41.73444444444445,4.28870350779554,10.719999999999999,0
Andorra,18.644444444444446,6.889829662464651,16.5,0
Angola,37.08222222222222,2.390014528082296,-3.739999999999995,1
Argentina,26.592222222222222,1.62601335924538,3.3199999999999967,1
Armenia,29.012222222222224,0.7389143688171474,0.7899999999999991,1
Australia,17.227777777777778,1.7666336474901754,4.549999999999999,1
Austria,13.155555555555557,2.5483480487911727,6.9399999999999995,1
Azerbaijan,56.60111111111111,3.905302307262669,11.040000000000006,0
Bahrain,59.64777777777778,2.305676569782597,-1.6499999999999986,3
Bangladesh,46.69777777777777,3.4015282513077016,7.700000000000003,0
Belarus,50.635555555555555,2.309919431014377,2.469999999999999,3
Belgium,12.682222222222222,0.7434342233475966,-1.25,1
Benin,31.20888888888889,3.332110609075143,9.850000000000001,0
Bhutan,30.173333333333332,1.3193653777479522,0.4399999999999977,1
Bolivia,33.27333333333333,1.8055747007531966,2.6700000000000017,1
Bosnia and Herzegovina,27.86111111111111,0.7673077030182274,1.4800000000000004,1
Botswana,23.75111111111111,1.0409183979117242,0.33999999999999986,1
Brazil,33.24444444444444,1.4645998695130946,3.5,1
Brunei,46.416666666666664,8.033619981054613,14.459999999999994,0
Bulgaria,33.89555555555555,2.574456792757995,8.71,0
Burkina Faso,23.66111111111111,0.593789618561247,-0.5299999999999976,1
Burundi,49.153333333333336,7.052088343178918,9.549999999999997,0
Cambodia,43.404444444444444,2.5464932314415822,5.030000000000001,1
Cameroon,40.662222222222226,2.8866060424734874,9.0,0
Canada,14.21888888888889,2.09507424954609,2.5600000000000005,1
Cape Verde,18.624444444444446,2.5502358278750963,5.76,1
Central African Republic,36.73444444444445,6.24312644255887,15.310000000000002,0
Chad,38.95222222222222,1.9472402123118866,5.330000000000005,1
Chile,24.26,3.040760595640505,1.6500000000000021,1
China,76.9511111111111,2.97217279294309,5.650000000000006,3
Colombia,41.007777777777775,2.6974097657650136,6.260000000000005,1
Comoros,26.205555555555556,2.5431826080283297,6.129999999999999,1
Congo,34.45111111111111,3.544380920712544,10.629999999999999,0
Costa Rica,11.682222222222222,1.4486698880160536,-3.3200000000000003,1
Cote d'Ivoire,29.983333333333334,0.8479681597795996,-0.8999999999999986,1
Croatia,27.942222222222224,1.2027133675337804,1.3399999999999999,1
Cuba,68.35666666666667,3.4813144069445956,-7.700000000000003,3
Cyprus,18.304444444444446,2.7716065337233164,6.020000000000001,1
Czechia,17.684444444444445,6.016219974184602,13.209999999999999,0
Democratic Republic of Congo,48.36,3.918306394349477,6.930000000000007,0
Denmark,9.173333333333334,2.089228326440171,1.4900000000000002,1
Djibouti,71.96666666666667,3.469304685380062,11.219999999999999,3
Dominican Republic,27.296666666666667,0.8381676443289843,-2.7399999999999984,1
East Timor,30.553333333333335,1.589701229791311,0.39000000000000057,1
Ecuador,32.693333333333335,1.306369013717026,-1.8599999999999994,1
Egypt,54.12555555555556,3.102946628251565,7.510000000000005,0
El Salvador,26.70111111111111,3.2605269683152645,7.629999999999999,0
Equatorial Guinea,63.46555555555556,5.0735000520131806,-11.530000000000001,2
Eritrea,83.57,1.6322913342905427,-3.3799999999999955,3
Estonia,12.461111111111112,2.0898411688717182,5.99,1
Ethiopia,41.02,6.587956815280441,-5.939999999999998,2
Fiji,29.290000000000003,2.347296317042226,-4.769999999999996,1
Finland,7.876666666666667,1.2557368354874359,0.6100000000000003,1
France,22.256666666666668,0.7886380665425676,1.0,1
Gabon,33.57666666666667,3.185431681891796,9.91,0
Gambia,40.03666666666667,7.295267301477033,-14.330000000000002,2
Georgia,28.53777777777778,0.951088557624602,-1.4499999999999993,1
Germany,13.122222222222224,2.086658679430933,5.0,1
Ghana,18.64111111111111,2.326840370784189,4.059999999999999,1
Greece,29.79111111111111,1.0957354202137999,0.5500000000000007,1
Guatemala,36.397777777777776,2.907725820025755,9.060000000000002,0
Guinea,32.67777777777778,1.952535388781584,6.930000000000003,1
Guinea-Bissau,30.28777777777778,1.3854762518514894,3.7399999999999984,1
Guyana,26.706666666666663,0.5118349343294171,-1.4699999999999989,1
Haiti,26.762222222222224,2.7572303937909215,7.030000000000001,1
Honduras,43.66777777777778,4.838759597711424,12.43,0
Hong Kong,28.61888888888889,1.5115343565764932,4.280000000000001,1
Hungary,28.843333333333337,1.923915278799978,5.670000000000002,1
Iceland,13.165555555555555,2.7531032995108946,6.879999999999999,1
India,43.21777777777778,2.2759271614980183,5.340000000000003,1
Indonesia,39.14111111111111,1.898001873316016,-3.6499999999999986,1
Iran,68.0311111111111,4.67708361172976,-0.7000000000000028,3
Iraq,51.81666666666667,4.600766240529942,10.899999999999999,0
Ireland,12.523333333333333,1.724028712057894,1.8499999999999996,1
Israel,31.404444444444444,0.9187370558423008,-2.0700000000000003,1
Italy,25.463333333333335,1.988139834116303,-2.719999999999999,1
Jamaica,11.11888888888889,0.9818661370630469,0.08000000000000007,1
Japan,27.99888888888889,1.5543281864236753,3.7099999999999973,1
Jordan,42.053333333333335,1.7602911690967509,4.420000000000002,1
Kazakhstan,53.739999999999995,1.4767701242915223,-4.799999999999997,3
Kenya,31.506666666666668,1.7943313517853932,5.849999999999998,1
Kosovo,29.808888888888887,0.7221053324211866,1.8500000000000014,1
Kuwait,32.27333333333333,2.0446026508835375,6.079999999999998,1
Kyrgyzstan,30.743333333333332,0.7010884394996094,-1.8300000000000018,1
Laos,68.24333333333333,2.9787329521123596,2.5700000000000074,3
Latvia,19.454444444444444,1.6645428134409093,-3.629999999999999,1
Lebanon,32.28,1.3557654664432186,4.780000000000001,1
Lesotho,29.24666666666667,1.1340524679220096,3.25,1
Liberia,31.175555555555555,1.0633215777824605,3.469999999999999,1
Libya,51.38333333333333,7.93421231125056,17.869999999999997,0
Liechtenstein,16.744444444444444,5.5034128300335405,12.139999999999999,0
Lithuania,20.35111111111111,1.4348209334656048,1.9100000000000001,1
Luxembourg,13.282222222222222,3.8918208392016767,10.879999999999999,0
Madagascar,27.673333333333332,0.9808542195453915,-0.38000000000000256,1
Malawi,28.32,0.9509994742374996,0.620000000000001,1
Malaysia,42.105555555555554,4.868490811101299,-3.259999999999998,2
Maldives,33.46333333333334,3.4296719959786257,-1.9700000000000024,1
Mali,35.52777777777778,2.829499857650545,3.469999999999999,1
Malta,26.41111111111111,3.0265840664206087,7.16,1
Mauritania,28.290000000000003,3.194139164156754,5.489999999999998,1
Mauritius,27.540000000000003,0.8407883205658845,2.2699999999999996,1
Mexico,46.68666666666667,2.0092598139613482,1.4100000000000037,1
Moldova,29.16,2.31175258191702,5.599999999999998,1
Mongolia,28.797777777777778,1.5337680543173555,-0.9600000000000009,1
